Exchange,Side,Symbol,Size,Price
NYSE,Ask,GOOG,4600,922.32
IEX,Bid,GOOG,800,921.36
NYSE,Bid,AAPL,1800,155.86
NYSE,Bid,AAPL,1000,155.35
NASDAQ,Ask,GOOG,1000,921.82
NYSE,Bid,AAPL,1400,154.95
NASDAQ,Bid,GOOG,400,922.13
IEX,Bid,AAPL,2400,154.05
NYSE,Ask,GOOG,3700,923.13
NYSE,Ask,AAPL,3500,154.64
NYSE,Bid,AAPL,1000,153.75
IEX,Bid,GOOG,1500,923.66
NASDAQ,Ask,GOOG,4800,923.35
NYSE,Ask,AAPL,2600,153.69
NASDAQ,Bid,GOOG,900,923.99
NYSE,Bid,GOOG,2000,924.11
NYSE,Ask,AAPL,800,154.52
NASDAQ,Bid,GOOG,300,923.33
NASDAQ,Ask,GOOG,1600,923.7
IEX,Bid,GOOG,2300,922.75
NYSE,Ask,AAPL,200,155.23
NASDAQ,Ask,GOOG,1800,922.98
NASDAQ,Bid,AAPL,2000,155.6
NASDAQ,Bid,AAPL,2300,154.88
NYSE,Ask,GOOG,3600,922.3
NYSE,Ask,AAPL,4300,155.61
NASDAQ,Ask,GOOG,4300,923.13
NYSE,Bid,GOOG,2800,923.12
NYSE,Ask,AAPL,4900,154.88
NYSE,Bid,AAPL,900,155.11
NASDAQ,Ask,GOOG,4200,923.12
IEX,Bid,AAPL,4000,154.57
NASDAQ,Ask,GOOG,2600,922.18
NYSE,Bid,GOOG,3500,922.54
IEX,Bid,GOOG,2300,921.55
NYSE,Ask,AAPL,2800,153.7
NYSE,Bid,GOOG,800,921.34
NYSE,Ask,GOOG,1500,920.53
IEX,Ask,AAPL,5000,152.88
NYSE,Bid,GOOG,4400,919.86
NASDAQ,Bid,GOOG,1200,919.6
NASDAQ,Bid,AAPL,1300,153.87
IEX,Ask,GOOG,1800,919.76
NYSE,Ask,AAPL,1500,154.06
NASDAQ,Ask,AAPL,4600,153.22
IEX,Bid,GOOG,3400,919.95
NYSE,Ask,GOOG,2500,920.87
NASDAQ,Ask,AAPL,800,152.69
NASDAQ,Ask,GOOG,2600,921.64
NYSE,Ask,AAPL,4600,152.92
IEX,Ask,GOOG,2400,920.8
IEX,Bid,GOOG,2100,919.82
NYSE,Bid,AAPL,400,152.86
NYSE,Bid,GOOG,3200,919.52
NASDAQ,Ask,GOOG,4200,919.56
NYSE,Bid,AAPL,2200,152.93
NYSE,Ask,AAPL,2000,152.38
NYSE,Bid,GOOG,3400,920.32
NASDAQ,Bid,AAPL,500,152.07
IEX,Ask,AAPL,2900,152.5
NYSE,Bid,GOOG,4300,920.37
NYSE,Ask,GOOG,4700,921.12
NYSE,Bid,GOOG,4400,921.01
IEX,Bid,AAPL,3900,153.5
NASDAQ,Bid,AAPL,3000,153.68
NYSE,Bid,AAPL,3400,153.78
NASDAQ,Ask,GOOG,4500,921.9
IEX,Bid,AAPL,3000,153.6
NYSE,Ask,GOOG,800,921
NASDAQ,Ask,GOOG,1400,920.94
NYSE,Ask,AAPL,2700,154.5
NYSE,Ask,GOOG,700,920.62
NYSE,Ask,GOOG,4000,921.44
NASDAQ,Bid,GOOG,2400,920.53
NYSE,Bid,AAPL,2100,154.78
NYSE,Ask,AAPL,3100,153.79
NASDAQ,Ask,AAPL,2600,154.29
NYSE,Ask,AAPL,900,154.25
NASDAQ,Ask,AAPL,4700,155.11
IEX,Bid,GOOG,1800,919.73
NYSE,Ask,AAPL,1800,155.24
IEX,Ask,GOOG,3500,920.16
NASDAQ,Bid,AAPL,300,155.83
NYSE,Ask,GOOG,4800,919.97
NASDAQ,Bid,AAPL,4700,155.89
NYSE,Bid,GOOG,3100,920.73
NYSE,Bid,AAPL,2500,155.31
NYSE,Bid,GOOG,4200,921.44
NASDAQ,Ask,GOOG,4800,921.43
NYSE,Bid,AAPL,2600,155.8
NYSE,Bid,AAPL,4600,155.63
NASDAQ,Bid,GOOG,1400,920.58
NYSE,Bid,AAPL,3600,155.62
IEX,Ask,GOOG,1500,920.73
NASDAQ,Bid,AAPL,2100,155.75
IEX,Bid,GOOG,3900,921.29
NYSE,Ask,AAPL,1400,156.14
NYSE,Bid,GOOG,3000,922.26
IEX,Bid,AAPL,900,157.06
NYSE,Ask,GOOG,1800,922.72
NYSE,Ask,AAPL,3000,157.06
NYSE,Ask,GOOG,3000,922.18
NYSE,Bid,AAPL,100,156.14
NASDAQ,Bid,GOOG,200,922.37
NASDAQ,Ask,AAPL,900,155.85
NYSE,Ask,GOOG,4100,922.32
IEX,Ask,AAPL,1100,156.83
IEX,Bid,GOOG,3500,922.85
NYSE,Bid,GOOG,100,923.37
NASDAQ,Bid,AAPL,2300,156.16
NASDAQ,Bid,GOOG,2600,923.73
IEX,Ask,AAPL,3000,155.2
NASDAQ,Bid,GOOG,3200,923.83
NYSE,Bid,AAPL,1200,155.47
NASDAQ,Bid,GOOG,1400,924.57
IEX,Bid,AAPL,4100,155.83
NASDAQ,Bid,AAPL,2200,156.34
NYSE,Bid,GOOG,1200,925.32
IEX,Ask,AAPL,2300,155.73
IEX,Bid,GOOG,2300,924.41
NASDAQ,Bid,AAPL,4300,155.7
NYSE,Bid,GOOG,2000,923.59
NYSE,Ask,AAPL,800,154.75
NASDAQ,Ask,AAPL,2800,154.77
NASDAQ,Ask,GOOG,1200,923.02
IEX,Ask,AAPL,2400,154.45
NASDAQ,Bid,GOOG,1500,922.59
NASDAQ,Ask,GOOG,600,923.29
NASDAQ,Ask,AAPL,500,155.11
NASDAQ,Bid,AAPL,2500,155.04
NASDAQ,Ask,GOOG,4700,923.43
NYSE,Bid,AAPL,900,154.23
NASDAQ,Ask,GOOG,4200,922.67
NYSE,Bid,AAPL,2700,154.53
NYSE,Bid,GOOG,3200,922.23
NYSE,Ask,GOOG,1900,922.54
NASDAQ,Ask,AAPL,300,154.83
NYSE,Ask,AAPL,700,154.74
NYSE,Ask,AAPL,1300,155.06
IEX,Ask,GOOG,3000,922.14
NASDAQ,Ask,GOOG,100,921.83
NYSE,Bid,AAPL,2200,154.09
NASDAQ,Ask,GOOG,4800,920.89
NASDAQ,Bid,AAPL,2400,154.57
IEX,Bid,GOOG,4300,919.98
NYSE,Bid,AAPL,1500,155.51
NYSE,Ask,GOOG,4200,920.42
NYSE,Bid,AAPL,2100,155.73
NASDAQ,Ask,GOOG,2500,920.91
NYSE,Bid,AAPL,1000,156.13
NASDAQ,Bid,GOOG,4100,921.14
NYSE,Bid,AAPL,2900,155.25
NASDAQ,Ask,AAPL,1800,154.95
NYSE,Bid,GOOG,2300,921.69
NASDAQ,Ask,AAPL,300,153.98
NYSE,Bid,GOOG,100,922.23
NYSE,Ask,AAPL,4800,154.42
NYSE,Ask,GOOG,100,922.42
NYSE,Bid,AAPL,2600,154.27
NASDAQ,Ask,GOOG,3000,922.02
NYSE,Ask,GOOG,1800,921.24
NASDAQ,Ask,AAPL,5000,153.48
NASDAQ,Bid,GOOG,900,921.31
NYSE,Bid,GOOG,1800,920.35
IEX,Bid,AAPL,3700,153.89
NYSE,Ask,GOOG,2100,920.91
IEX,Bid,GOOG,2900,921.58
NASDAQ,Ask,AAPL,300,154.65
NYSE,Ask,GOOG,3500,922.08
NYSE,Ask,GOOG,5000,922.21
IEX,Bid,AAPL,1500,154.64
NASDAQ,Bid,GOOG,5000,922.16
NASDAQ,Ask,GOOG,700,922.78
NYSE,Bid,AAPL,2000,155.02
IEX,Bid,GOOG,4200,922.65
IEX,Bid,AAPL,3100,155.93
NYSE,Ask,AAPL,3600,155.62
NYSE,Bid,GOOG,1700,923.26
NYSE,Ask,AAPL,3400,155.45
NASDAQ,Bid,GOOG,4500,922.9
NYSE,Bid,GOOG,3400,923.24
NYSE,Bid,GOOG,2200,923.46
NYSE,Bid,AAPL,4500,155.92
NASDAQ,Ask,AAPL,1000,155.54
NYSE,Ask,GOOG,4000,923.42
NYSE,Ask,GOOG,3200,923.8
NYSE,Ask,AAPL,700,155.14
NYSE,Ask,GOOG,3800,923.02
NYSE,Ask,AAPL,1700,154.52
NASDAQ,Bid,GOOG,4100,922.35
IEX,Ask,AAPL,3200,155.35
IEX,Ask,GOOG,3400,922.44
NASDAQ,Ask,AAPL,3400,155.71
NASDAQ,Bid,GOOG,100,922.21
NYSE,Ask,AAPL,3800,155.63
NASDAQ,Bid,GOOG,800,921.9
NYSE,Bid,AAPL,1500,155.76
IEX,Bid,AAPL,1500,154.99
IEX,Bid,GOOG,4300,922.39
IEX,Bid,AAPL,2000,155.15
NASDAQ,Ask,GOOG,3800,922.36
NYSE,Ask,AAPL,2700,154.31
NYSE,Ask,GOOG,3000,922.36
NASDAQ,Ask,GOOG,4800,922.16
NYSE,Bid,AAPL,3700,154.8
NYSE,Ask,GOOG,5000,921.99
NASDAQ,Bid,GOOG,3600,922.01
NYSE,Ask,AAPL,4400,154.43
NYSE,Ask,AAPL,1900,155.14
NYSE,Bid,AAPL,2700,155.5
NASDAQ,Bid,GOOG,2300,921.7
NASDAQ,Bid,AAPL,1500,156.27
NASDAQ,Ask,AAPL,2300,155.58
NYSE,Ask,AAPL,4500,154.68
NASDAQ,Bid,GOOG,600,921.19
IEX,Ask,GOOG,4600,921.76
NYSE,Ask,GOOG,900,921.02
NASDAQ,Ask,GOOG,3200,921.03
IEX,Ask,AAPL,2600,154.31
NASDAQ,Bid,GOOG,2200,920.89
NYSE,Ask,GOOG,1600,920.01
NYSE,Ask,AAPL,2900,154.01
NYSE,Ask,AAPL,800,154.37
NYSE,Bid,GOOG,1600,919.92
NASDAQ,Ask,GOOG,200,920.06
NYSE,Ask,AAPL,300,154.18
NASDAQ,Bid,AAPL,3200,154.91
NYSE,Bid,GOOG,5000,920.32
IEX,Bid,AAPL,300,154.83
NYSE,Ask,GOOG,4200,919.67
NASDAQ,Bid,AAPL,4800,155.49
NYSE,Bid,GOOG,4500,920.06
NYSE,Bid,GOOG,1800,920.64
NYSE,Ask,AAPL,3100,154.62
NYSE,Ask,AAPL,4800,154.65
NYSE,Ask,GOOG,4800,920.6
NYSE,Bid,GOOG,800,921.03
IEX,Bid,GOOG,4400,921.04
NASDAQ,Bid,AAPL,2900,155.12
NYSE,Ask,AAPL,1600,155.24
IEX,Bid,GOOG,2100,921.48
NYSE,Ask,GOOG,4600,921.75
NYSE,Bid,AAPL,2800,155.39
NYSE,Ask,AAPL,4500,155.58
NYSE,Bid,GOOG,300,922.43
NYSE,Ask,AAPL,3000,155.98
NASDAQ,Ask,AAPL,4600,156.93
IEX,Ask,AAPL,3800,156.57
IEX,Ask,GOOG,3600,922.5
NASDAQ,Ask,AAPL,3900,156.45
NASDAQ,Ask,AAPL,900,156.74
NYSE,Ask,GOOG,800,922.64
NYSE,Bid,GOOG,200,923.29
NYSE,Bid,GOOG,1900,923.31
NYSE,Ask,AAPL,2700,156.31
NYSE,Ask,AAPL,4000,156.56
NYSE,Ask,GOOG,4500,923.96
NASDAQ,Bid,AAPL,900,155.79
IEX,Bid,AAPL,900,155.9
NASDAQ,Ask,GOOG,4000,923.51
IEX,Ask,AAPL,1800,155.41
NYSE,Bid,AAPL,5000,155.08
NYSE,Bid,GOOG,200,924.11
IEX,Ask,AAPL,4600,154.52
NYSE,Ask,GOOG,4200,923.54
NYSE,Ask,GOOG,1200,922.57
NYSE,Bid,AAPL,1300,154.12
NYSE,Ask,GOOG,4800,923.21
NASDAQ,Bid,GOOG,1400,923.48
NYSE,Bid,AAPL,4500,153.41
NYSE,Bid,AAPL,1400,152.69
NASDAQ,Bid,GOOG,4900,923.81
NYSE,Bid,GOOG,3100,924.09
NYSE,Bid,AAPL,1000,153.47
NASDAQ,Bid,GOOG,2300,923.64
NYSE,Ask,AAPL,3100,153.12
NYSE,Ask,GOOG,1400,923.47
IEX,Ask,AAPL,4100,152.82
IEX,Ask,GOOG,400,923.08
NYSE,Bid,AAPL,2300,153.49
NASDAQ,Ask,GOOG,800,924.07
NYSE,Ask,AAPL,400,153.25
NYSE,Ask,GOOG,2700,924.93
NYSE,Ask,GOOG,3900,924.21
NASDAQ,Ask,AAPL,900,153.16
NYSE,Bid,AAPL,2400,152.85
NYSE,Ask,GOOG,2800,924.12
NYSE,Ask,AAPL,1800,152.22
IEX,Ask,GOOG,900,923.66
NASDAQ,Bid,GOOG,4300,923.68
NYSE,Bid,AAPL,4600,151.93
NYSE,Bid,GOOG,200,924.32
IEX,Bid,AAPL,2500,151.54
NYSE,Bid,AAPL,5000,150.75
NASDAQ,Bid,AAPL,4700,150.3
NASDAQ,Ask,GOOG,4100,924.01
NYSE,Bid,GOOG,5000,923.31
NYSE,Ask,AAPL,4600,150.26
NASDAQ,Ask,GOOG,4800,924.12
IEX,Ask,AAPL,900,150.28
IEX,Ask,GOOG,3900,924.79
NYSE,Bid,AAPL,3600,149.87
NASDAQ,Bid,GOOG,1400,925.21
NYSE,Ask,AAPL,1300,149.67
NASDAQ,Ask,AAPL,1400,148.85
NYSE,Bid,GOOG,4100,925.67
NYSE,Bid,AAPL,5000,148.23
NYSE,Ask,GOOG,3300,924.67
NASDAQ,Ask,AAPL,4400,149.06
NASDAQ,Ask,AAPL,4000,149.81
NYSE,Ask,AAPL,900,150.57
NASDAQ,Bid,GOOG,1000,924.44
NYSE,Bid,AAPL,1100,150.57
NYSE,Ask,GOOG,4600,925.22
NYSE,Bid,AAPL,3200,151.1
NYSE,Ask,AAPL,1400,150.86
NYSE,Ask,GOOG,1300,926.01
NYSE,Bid,GOOG,4000,927.01
NASDAQ,Ask,AAPL,100,150.71
NYSE,Ask,AAPL,300,151.65
NASDAQ,Bid,GOOG,1700,927.22
NASDAQ,Ask,GOOG,2900,926.81
NYSE,Bid,AAPL,300,150.93
NYSE,Ask,AAPL,3600,150.47
NYSE,Bid,GOOG,1600,926.61
NYSE,Bid,GOOG,500,925.94
NYSE,Ask,AAPL,3700,149.72
NASDAQ,Bid,GOOG,1000,926.65
NYSE,Bid,GOOG,4500,927.3
NYSE,Ask,AAPL,2800,150.47
NYSE,Bid,GOOG,2500,928.01
NYSE,Ask,AAPL,2200,150.39
NYSE,Bid,AAPL,5000,150.87
NYSE,Bid,GOOG,3200,927.56
NASDAQ,Ask,AAPL,3500,150.44
NYSE,Bid,GOOG,3900,926.93
NYSE,Ask,AAPL,800,150.13
NASDAQ,Ask,AAPL,300,149.81
NASDAQ,Ask,GOOG,4600,926.54
NASDAQ,Bid,GOOG,3800,926.04
NYSE,Ask,GOOG,2400,926.34
NYSE,Bid,AAPL,1100,150.46
NASDAQ,Ask,GOOG,2800,927.17
NYSE,Bid,GOOG,4300,928.09
NASDAQ,Bid,GOOG,1700,928.42
NYSE,Bid,AAPL,1200,150.67
NYSE,Ask,AAPL,3300,150.28
IEX,Ask,GOOG,2900,929.02
NASDAQ,Bid,GOOG,1800,928.29
NYSE,Bid,AAPL,1000,151.14
NYSE,Ask,GOOG,700,928.53
NYSE,Ask,AAPL,2000,150.84
NASDAQ,Bid,GOOG,4300,927.54
NYSE,Bid,GOOG,1100,928.37
NASDAQ,Bid,GOOG,3400,927.74
NYSE,Bid,AAPL,2400,150
NYSE,Bid,GOOG,4400,926.98
NASDAQ,Ask,AAPL,1400,150.55
NASDAQ,Ask,GOOG,3300,927.18
IEX,Bid,AAPL,1000,149.68
NYSE,Bid,AAPL,900,150.44
IEX,Ask,GOOG,300,928.1
NYSE,Ask,AAPL,1200,150.33
IEX,Bid,GOOG,3100,927.31
NASDAQ,Ask,GOOG,1600,928.2
NYSE,Bid,GOOG,4300,929.06
NYSE,Bid,AAPL,1000,150.98
IEX,Bid,AAPL,500,150.62
IEX,Bid,GOOG,2800,929.97
NASDAQ,Ask,GOOG,800,930.5
NYSE,Ask,AAPL,400,149.88
IEX,Bid,AAPL,1800,150.72
NYSE,Ask,GOOG,4100,929.91
NYSE,Bid,AAPL,4800,150.78
NYSE,Bid,GOOG,1900,929.54
NASDAQ,Bid,AAPL,4500,150.74
NYSE,Bid,GOOG,4700,929.74
IEX,Ask,GOOG,1200,930.65
NYSE,Ask,AAPL,300,150.02
NYSE,Ask,GOOG,1900,930.56
NYSE,Bid,AAPL,4100,149.55
NYSE,Bid,AAPL,2300,150.53
NYSE,Bid,AAPL,4000,150.96
NASDAQ,Bid,GOOG,3800,930.11
NYSE,Ask,AAPL,2800,150.96
IEX,Bid,GOOG,4900,929.82
NASDAQ,Bid,AAPL,4200,151.58
NYSE,Bid,GOOG,1000,930.28
NYSE,Bid,AAPL,2900,152.17
NYSE,Bid,GOOG,4800,929.62
NYSE,Bid,AAPL,1200,152.35
IEX,Bid,GOOG,3300,930.02
NYSE,Ask,AAPL,4500,152.08
NYSE,Bid,GOOG,2200,929.54
IEX,Ask,AAPL,4100,152.02
NYSE,Ask,AAPL,3200,151.27
NASDAQ,Bid,GOOG,800,929.4
NYSE,Bid,GOOG,1100,928.99
IEX,Ask,AAPL,5000,150.62
NYSE,Ask,GOOG,4400,929.98
NYSE,Bid,AAPL,2200,149.72
NYSE,Ask,GOOG,4800,930.15
IEX,Bid,GOOG,1700,929.89
NYSE,Ask,AAPL,1100,150.21
NASDAQ,Bid,GOOG,2700,930.7
NYSE,Ask,GOOG,2000,931.2
NYSE,Bid,GOOG,3300,931.5
NASDAQ,Ask,AAPL,4100,150.22
NASDAQ,Bid,GOOG,3300,931.32
IEX,Bid,AAPL,300,151.02
NASDAQ,Ask,GOOG,700,931.66
NYSE,Bid,GOOG,3300,931.72
NASDAQ,Ask,AAPL,1200,150.29
NASDAQ,Bid,AAPL,1500,150.1
NYSE,Ask,GOOG,3700,932.69
IEX,Ask,AAPL,4900,149.76
NYSE,Ask,GOOG,1300,933.24
NASDAQ,Ask,GOOG,2500,933.88
NYSE,Ask,GOOG,2100,933.69
NYSE,Bid,AAPL,4600,150.6
NASDAQ,Bid,AAPL,2700,150.01
NYSE,Ask,GOOG,4400,932.74
NYSE,Ask,AAPL,900,149.93
NASDAQ,Bid,GOOG,3200,931.83
IEX,Bid,GOOG,3000,931.53
IEX,Bid,GOOG,2700,932.26
NYSE,Ask,GOOG,1700,931.92
NASDAQ,Ask,GOOG,1400,932.91
IEX,Bid,AAPL,3600,149.83
NYSE,Bid,GOOG,1200,933.71
NYSE,Ask,GOOG,2900,933.73
NASDAQ,Bid,GOOG,1900,933.22
NASDAQ,Ask,AAPL,900,148.89
NYSE,Bid,AAPL,100,149.76
NASDAQ,Ask,GOOG,100,932.63
NASDAQ,Ask,GOOG,3700,931.9
NYSE,Bid,AAPL,4800,150.19
NASDAQ,Bid,GOOG,4800,932.86
NASDAQ,Ask,AAPL,2900,149.19
NASDAQ,Bid,GOOG,3800,933.04
NYSE,Ask,AAPL,2200,148.59
NYSE,Ask,GOOG,500,933.23
NASDAQ,Bid,AAPL,1000,148.52
NASDAQ,Bid,AAPL,5000,149.04
NYSE,Ask,GOOG,2700,933.6
NYSE,Bid,AAPL,600,150
NASDAQ,Ask,GOOG,2100,932.96
NYSE,Bid,GOOG,1300,932.77
NASDAQ,Ask,GOOG,3000,932.5
NYSE,Bid,AAPL,3300,149.62
NYSE,Ask,GOOG,5000,931.5
NYSE,Ask,GOOG,700,931.32
NASDAQ,Bid,AAPL,2800,149.2
NASDAQ,Bid,AAPL,4200,150.05
NASDAQ,Ask,GOOG,1100,931.85
NYSE,Bid,AAPL,1300,149.23
NYSE,Ask,GOOG,4900,932.01
NASDAQ,Bid,GOOG,1900,931.4
NASDAQ,Bid,AAPL,4100,149.65
NASDAQ,Bid,AAPL,3800,148.84
IEX,Bid,GOOG,4900,930.47
IEX,Bid,AAPL,4000,148.41
NYSE,Bid,GOOG,2000,930.47
NYSE,Ask,GOOG,100,930.59
NYSE,Bid,GOOG,1100,931.51
NYSE,Bid,AAPL,100,147.78
NASDAQ,Ask,AAPL,5000,148.52
NYSE,Bid,GOOG,2100,932.08
NASDAQ,Bid,AAPL,700,148.12
NYSE,Ask,GOOG,2700,933.03
NYSE,Ask,AAPL,2300,148.31
IEX,Ask,GOOG,4100,932.71
NYSE,Ask,AAPL,2500,147.32
NYSE,Bid,AAPL,3700,147.46
NYSE,Bid,GOOG,2100,933.54
IEX,Ask,AAPL,3100,148.24
NYSE,Bid,GOOG,4900,934.43
NYSE,Ask,AAPL,3300,148.57
NYSE,Bid,AAPL,2900,148.88
NASDAQ,Bid,AAPL,2000,148.62
NYSE,Bid,AAPL,1400,149.59
IEX,Ask,GOOG,3100,933.94
NYSE,Bid,GOOG,3300,933.36
NYSE,Ask,AAPL,400,149.17
NYSE,Ask,GOOG,1900,932.57
NYSE,Ask,AAPL,4400,149.53
NASDAQ,Bid,AAPL,4500,150.41
NYSE,Bid,GOOG,400,932.64
NYSE,Ask,AAPL,500,149.64
NASDAQ,Ask,AAPL,400,150.22
NASDAQ,Bid,GOOG,1000,931.87
NYSE,Bid,AAPL,2600,149.33
NYSE,Bid,GOOG,2700,931.27
NASDAQ,Bid,AAPL,400,148.71
NYSE,Ask,AAPL,4100,148.22
NYSE,Ask,GOOG,3300,931.85
NYSE,Bid,GOOG,3700,931.02
IEX,Bid,AAPL,2900,148.01
NASDAQ,Ask,AAPL,4300,147.86
NYSE,Ask,AAPL,100,147.15
NASDAQ,Ask,GOOG,2200,930.36
NASDAQ,Ask,GOOG,4400,929.91
NYSE,Bid,AAPL,4500,148.12
NASDAQ,Bid,GOOG,3300,930.33
NASDAQ,Bid,AAPL,1500,148.72
IEX,Bid,GOOG,5000,930.73
NYSE,Ask,AAPL,1400,148.16
NYSE,Ask,AAPL,2900,148.63
NASDAQ,Bid,GOOG,1400,931.02
NASDAQ,Ask,AAPL,200,148.34
NYSE,Ask,GOOG,4200,930.74
NASDAQ,Ask,AAPL,2700,149.01
NYSE,Ask,GOOG,600,931.41
IEX,Ask,AAPL,3100,148.92
NASDAQ,Ask,AAPL,3700,149.74
NASDAQ,Ask,AAPL,2600,150.18
NYSE,Bid,GOOG,2100,931.99
IEX,Bid,GOOG,5000,932.45
NASDAQ,Bid,AAPL,4500,150.34
NYSE,Bid,AAPL,5000,150.16
NYSE,Ask,GOOG,1100,932.73
IEX,Ask,GOOG,1700,931.93
NYSE,Bid,AAPL,2100,150.8
IEX,Bid,AAPL,300,150.89
NYSE,Ask,AAPL,2600,150.41
NASDAQ,Bid,GOOG,3700,932.09
NASDAQ,Bid,AAPL,3900,149.69
NYSE,Bid,GOOG,2900,931.61
IEX,Ask,AAPL,3400,149.36
NYSE,Bid,GOOG,3200,932.32
NASDAQ,Bid,AAPL,900,149.35
NASDAQ,Ask,GOOG,500,933.07
IEX,Ask,AAPL,3300,149.34
NASDAQ,Ask,GOOG,1400,933.93
NYSE,Ask,AAPL,4400,149.46
NYSE,Bid,GOOG,1400,933.81
NYSE,Bid,GOOG,300,933.78
IEX,Bid,AAPL,800,148.58
NYSE,Ask,GOOG,3300,933.43
NYSE,Bid,AAPL,2700,148.74
NYSE,Ask,AAPL,5000,148.68
NYSE,Bid,AAPL,4300,147.84
NYSE,Bid,GOOG,3400,934.39
NYSE,Bid,AAPL,3500,146.94
IEX,Bid,GOOG,2100,934.9
NYSE,Ask,AAPL,3600,147.17
NYSE,Ask,GOOG,2300,934.64
NASDAQ,Ask,AAPL,2700,148.17
NASDAQ,Ask,GOOG,4300,934.02
NYSE,Ask,AAPL,3900,148.28
NYSE,Ask,AAPL,4000,147.35
NASDAQ,Bid,GOOG,700,934.89
IEX,Ask,AAPL,3700,148.3
IEX,Ask,AAPL,2000,147.86
NYSE,Ask,GOOG,2500,934.24
NASDAQ,Bid,GOOG,200,934.73
NASDAQ,Ask,AAPL,1800,148.81
NYSE,Bid,GOOG,900,934.39
NASDAQ,Bid,AAPL,3000,148.6
IEX,Ask,GOOG,3700,934.36
NYSE,Bid,AAPL,4300,147.86
NYSE,Bid,GOOG,5000,933.83
IEX,Bid,GOOG,500,934.22
IEX,Bid,GOOG,4200,934.13
NYSE,Ask,AAPL,3000,147.31
NYSE,Ask,GOOG,300,933.29
NYSE,Ask,AAPL,2100,147.93
IEX,Bid,GOOG,200,933.56
NYSE,Bid,AAPL,4000,147.73
IEX,Ask,GOOG,400,934.22
NASDAQ,Bid,AAPL,1900,148.27
IEX,Ask,GOOG,800,934.16
NYSE,Ask,AAPL,300,148.87
NYSE,Ask,GOOG,4100,934.95
NYSE,Bid,GOOG,1700,935.26
IEX,Bid,AAPL,3500,148.93
NYSE,Ask,AAPL,3900,149.77
NYSE,Bid,GOOG,1600,934.45
